ep_rew_mean,loss
0.0,-1.93
0.0,0.322
0.0,0.00399
0.0,0.00207
0.0,0.000706
0.373,0.000531
0.338,6.79e-06
0.529,5.39
0.506,0.218
0.775,4.38
1.12,2.09
1.3,11.0
1.3,14.3
1.26,7.33
1.22,0.232
0.0,-1.93
0.0,0.423
0.0,0.00556
0.0,0.00165
0.0,0.000637
1.75,0.000433
1.76,0.000744
2.57,12.8
2.03,0.909
1.94,97.6
1.82,12.7
1.71,7.03
1.71,1.05
1.8,0.21
1.75,0.00382
0.0,-1.94
2.5,0.469
3.79,0.0602
3.15,93.1
2.8,65.3
2.76,7.15
2.76,2.29
3.01,0.964
2.88,0.0201
3.0,36.5
2.97,0.2
2.86,12.2
2.76,2.55
2.66,0.23
2.57,0.216
2.08,-1.91
1.69,3.93
1.29,37.5
1.18,5.16
1.08,1.51
1.04,0.0193
1.0,0.0109
